,title,price,link,image,company
7,Nike Air Force 1 Shadow,$135,https://www.nike.com/t/air-force-1-shadow-womens-shoes-kTgn9J/CI0919-121,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/99897fd9-9ae2-4d3d-af8c-104e5add0f88/W+AF1+SHADOW.png",Nike
8,Nike Shox TL,$180,https://www.nike.com/t/shox-tl-womens-shoes-TH65kqnj/IH4485-001,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/9a5a8f5b-2898-431b-a8ca-2916f364818e/W+SHOX+TL.png",Nike
9,Nike Shox R4,$155,https://www.nike.com/t/shox-r4-womens-shoes-QwoSqA4F/AR3565-011,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/f9ca85ff-5aaf-4635-a797-040d06e6880a/NIKE+SHOX+R4.png",Nike
10,Nike RYZ 365,$90,https://www.nike.com/t/ryz-365-womens-shoes-WNWfn7/DC8156-100,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/8963affc-ff43-43d5-98e1-973d835f5638/WMNS+NIKE+RYZ+365.png",Nike
11,Nike Ryz 365 2,$90,https://www.nike.com/t/ryz-365-2-womens-shoes-LkNlGp/CU4874-100,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/d3ddd5d8-9684-4b80-99bd-d60ca8ca351b/WMNS+NIKE+RYZ+365+II.png",Nike
12,Nike Air Max 270,$170,https://www.nike.com/t/air-max-270-womens-shoes-Pgb94t/AH6789-127,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/c26af579-ca63-4a3e-9136-b449add24bd6/W+AIR+MAX+270.png",Nike
13,Nike Air Max Portal,$115,https://www.nike.com/t/air-max-portal-womens-shoes-42Iivg9J/HF3053-015,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/c9ac3531-6a10-4dd0-93cf-9c706e3b2848/W+NIKE+AIR+MAX+PORTAL.png",Nike
14,Nike Air Max Dn Premium,$180,https://www.nike.com/t/air-max-dn-premium-womens-shoes-xD4x0g/HQ0013-600,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/9877f3bd-b4a5-4b54-85ef-14e22c0233c9/W+AIR+MAX+DN+PRM.png",Nike
15,Nike Air Max Dn8,$200,https://www.nike.com/t/air-max-dn8-womens-shoes-Hjv9mj/HF5509-500,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/1c0dd509-9ae9-4add-b182-3438cbef83fa/W+AIR+MAX+DN8.png",Nike
16,Nike V5 RNR,$90,https://www.nike.com/t/v5-rnr-womens-shoes-4Lts7n/HQ7901-107,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/cd347f76-282f-41c0-b10e-b8e38f91a833/W+NIKE+V5+RNR.png",Nike
17,Nike Initiator,$80,https://www.nike.com/t/initiator-womens-shoes-kbt4lC/IB4688-111,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/54c72329-f0ff-4e08-b89b-054fdf93aceb/WMNS+NIKE+INITIATOR.png",Nike
18,Nike Air Max 90,$145,https://www.nike.com/t/air-max-90-womens-shoes-2ZsM2w/IF1619-102,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/972cb4dc-1a4e-41fe-b238-a81bbb17bf3e/WMNS+AIR+MAX+90.png",Nike
19,Nike Air Max 90 LV8,$155,https://www.nike.com/t/air-max-90-lv8-womens-shoes-4splTJ/FD4328-115,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/751badf6-6990-43df-8d12-b98577363cc2/NIKE+AIR+MAX+90+LV8.png",Nike
20,Nike Air Max Excee,$95,https://www.nike.com/t/air-max-excee-womens-shoes-jKsgMj/CD5432-140,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/2ccc8dc2-8fbb-4a25-b8b6-1c008d7274ac/WMNS+NIKE+AIR+MAX+EXCEE.png",Nike
21,Nike Cortez,$90,https://www.nike.com/t/cortez-womens-shoes-9gMfJC/IF1764-300,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/2e4e7dad-e9d0-431b-b437-95300936d96c/W+NIKE+CORTEZ.png",Nike
22,Nike Cortez Leather,$125,https://www.nike.com/t/cortez-leather-womens-shoes-07HlDB/HQ1841-601,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/120c6460-4228-464c-b25b-10c609677682/W+NIKE+CORTEZ+LT.png",Nike
23,Nike Cortez Textile,$90,https://www.nike.com/t/cortez-textile-shoes-cTpskF/DZ2795-604,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/75f5797a-23db-441e-ab46-090cbd2574fd/NIKE+CORTEZ.png",Nike
